cust_no,X1,X2,X3,X4,X5,X6,X7,X8
0xb2d4362b,348000.0,0.0,104.14,0,0.0,0.0,0.0,0
0xb2d675a4,1029000.0,0.0,128.58,520000,0.0,0.0,0.0,0
0xb2d92a8c,70000.0,0.0,58.9,0,0.0,0.0,0.0,0
0xb2d34382,0.0,0.0,9315.09,0,0.0,0.0,0.0,0
0xb2d79172,0.0,0.0,12757.93,0,0.0,17.94,0.0,0
0xb2d327fb,0.0,0.0,9428.29,0,0.0,0.0,0.0,0
0xb2d0cd40,486000.0,0.0,20000.0,0,0.0,5636.16,0.0,0
0xb2d6dc58,0.0,0.0,11751.19,0,0.0,0.0,0.0,0
0xb2d655f4,0.0,0.0,8.44,0,0.0,0.0,0.0,0
0xb2d69f5f,0.0,0.0,3314.65,0,0.0,0.0,0.0,0
0xb2d5ad85,0.0,0.0,151.23,0,0.0,0.0,0.0,0
0xb2d86aa4,410000.0,0.0,1440.06,350000,0.0,0.0,0.0,300000
0xb2d8f018,100000.0,0.0,2.11,0,0.0,0.0,0.0,0
0xb2d91589,10000.0,0.0,0.32,0,0.0,0.0,0.0,0
0xb2d64e5f,0.0,0.0,51538.24,0,0.0,0.0,0.0,0
0xb2d65111,110000.0,0.0,776.3,157000,0.0,0.0,0.0,0
0xb2d210bc,0.0,0.0,183.49,0,83.02,0.0,0.0,0
0xb2d38747,0.0,0.0,5572.99,0,0.0,0.0,0.0,0
0xb2d27d07,0.0,0.0,104012.18,0,0.0,0.0,0.0,0
0xb2d5ab7e,60000.0,0.0,14.03,0,0.0,0.0,0.0,0
0x3b9ae812,0.0,0.0,1320.25,0,0.0,0.0,0.0,0
0xb2d9042b,450000.0,0.0,4.75,0,0.0,0.0,0.0,0
0xb2d50a74,0.0,0.0,2984.68,0,0.0,0.0,1530000.0,0
0x3b9af29e,80000.0,0.0,742.5,0,0.0,0.0,0.0,0
0xb2d5f219,0.0,0.0,12433.99,0,0.0,0.0,0.0,0
0xb2d2e6c4,160000.0,0.0,182.09,0,0.0,0.0,0.0,0
0xb2d238a0,0.0,0.0,52.3,0,0.0,0.0,0.0,0
0xb2d6313a,400000.0,0.0,257.99,0,0.0,0.0,0.0,0
0xb2d2e41e,0.0,0.0,26712.19,0,0.0,0.0,5600000.0,0
0xb2d65357,0.0,0.0,115.26,0,0.0,0.0,0.0,0
0xb2d1ae9d,620000.0,0.0,6472.22,0,0.0,0.0,0.0,0
0xb2d0ee2e,0.0,0.0,0.0,0,340.56,0.0,0.0,0
0xb2d52b7a,0.0,0.0,155.8,0,0.0,90715.65,0.0,0
0xb2d5e361,60000.0,0.0,1182.14,0,0.0,0.0,0.0,320000
0xb2d10e05,100000.0,0.0,24193.18,0,0.0,0.0,0.0,200000
0xb2d99fb6,50000.0,0.0,1.58,0,0.0,0.0,0.0,0
0xb2d1ef0b,0.0,0.0,99.33,0,0.0,0.0,0.0,0
0xb2d49718,0.0,0.0,10795.92,0,0.0,0.0,0.0,0
0xb2d282a1,0.0,50000.0,28913.9,0,0.0,0.0,0.0,0
0xb2d6e099,0.0,0.0,182669.6,0,0.0,0.0,10246500.0,0
0xb2d5def0,315000.0,0.0,1767.15,0,0.0,0.0,0.0,0
0xb2d607bb,0.0,0.0,4168.08,0,0.0,0.0,0.0,0
0xb2da3778,0.0,0.0,0.0,0,0.0,0.0,0.0,200000
0xb2d21eae,0.0,0.0,374.05,0,0.0,0.0,660395.94,0
0xb2d331fa,194000.0,0.0,163.38,0,0.0,10049.49,0.0,0
0xb2d3abb9,0.0,0.0,2048.71,0,0.0,0.0,0.0,0
0xb2d8c88b,0.0,0.0,1541.28,0,0.0,0.0,1700000.0,0
0xb2d35e94,0.0,0.0,102591.11,0,0.0,0.0,0.0,0
0xb2d34de7,0.0,0.0,9241.33,0,0.0,0.0,0.0,0
0x3b9b1008,2800000.0,0.0,20194.76,0,0.0,0.0,0.0,0
0xb2d2692a,0.0,0.0,1668.98,0,0.0,0.0,0.0,0
0xb2d1ef50,100000.0,0.0,3.86,0,0.0,0.0,0.0,0
0xb2d0d6d6,270000.0,0.0,6311.51,0,0.0,0.0,0.0,0
0xb2d83b1f,0.0,0.0,2255.35,0,0.0,0.0,0.0,0
0xb2d9e77a,0.0,0.0,0.02,0,0.0,0.0,0.0,500000
0xb2d37367,0.0,0.0,1472.2,0,0.0,0.0,837932.15,0
0xb2d10fcd,231000.0,0.0,167.27,0,0.0,0.0,0.0,0
0xb2d0f1d0,160000.0,0.0,1095.5,0,0.0,0.0,0.0,0
0xb2d67e20,1500000.0,0.0,1000000.0,0,0.0,0.0,0.0,0
0xb2d61b41,630000.0,0.0,101.38,300000,0.0,0.0,0.0,0
0xb2d18b9c,240000.0,0.0,2140.03,0,0.0,0.0,0.0,200000
0xb2d94f85,20000.0,0.0,1.13,0,0.0,0.0,0.0,0
0xb2d91361,0.0,0.0,0.0,0,0.0,0.0,0.0,450000
0xb2d60a70,0.0,0.0,1422.48,0,0.0,0.0,0.0,0
0xb2d631c7,0.0,0.0,106.62,489850,0.0,0.0,0.0,0
0xb2d9cc0b,0.0,0.0,961981.68,0,0.0,0.0,0.0,0
0xb2d6cfc8,0.0,0.0,55.26,0,0.0,0.0,0.0,0
0xb2d99cfb,0.0,0.0,39.24,0,0.0,0.0,0.0,470000
0xb2d41f48,203000.0,0.0,51.76,0,0.0,0.0,0.0,0
0xb2d622a3,30000.0,0.0,512.07,0,0.0,0.0,0.0,0
0xb2d96869,0.0,3500.0,468.37,0,0.0,0.0,0.0,0
0xb2d113db,380000.0,0.0,70.8,0,0.0,0.0,0.0,0
0xb2d3bd14,0.0,0.0,28895.13,0,0.0,0.0,4213333.26,0
0xb2d75b42,0.0,0.0,35196.91,0,0.0,0.0,0.0,0
0xb2da2b9f,0.0,0.0,3.99,0,0.0,0.0,0.0,500000
0xb2d6b459,0.0,0.0,50004.81,0,0.0,0.0,0.0,0
0xb2d4e860,70000.0,0.0,13.9,0,0.0,0.0,0.0,0
0xb2d49d45,688000.0,0.0,32.47,0,0.0,0.0,0.0,0
0xb2d124a0,600000.0,0.0,22466.24,0,0.0,0.0,0.0,0
0x3b9b0e0a,0.0,0.0,1055.07,0,0.0,0.0,0.0,0
0xb2d3b087,350000.0,0.0,5.45,0,0.0,0.0,0.0,0
0xb2d2f636,0.0,0.0,214774.2,0,0.0,0.0,0.0,0
0xb2d1efb6,0.0,0.0,200016.71,0,0.0,0.0,0.0,2000000
0xb2d1a4f5,140000.0,0.0,1658.18,0,0.0,0.0,0.0,0
0xb2d63098,0.0,0.0,1251.94,0,0.0,0.0,0.0,200000
0xb2d656c9,25000.0,0.0,161.62,0,0.0,0.0,0.0,0
