cust_no,B1,B2,B3,B4,B5,B6,B7
0xb2d176b2,14,3,292654.81,8,323939.53,2019-12-31 06:02:00,28.0
0xb2d328b9,0,0,0.0,0,0.0,2019-04-18 23:57:00,0.0
0xb2d1309d,0,0,0.0,0,0.0,2019-10-18 04:12:00,4.0
0xb2d2d2b3,10,1,100000.0,8,1040000.0,2019-12-20 10:43:00,24.0
0xb2d3471a,0,0,0.0,0,0.0,,0.0
0xb2d5b207,0,1,3718.0,0,0.0,2019-12-17 15:03:00,10.0
0xb2d6e6ee,6,0,0.0,2,1430.0,2019-12-28 18:15:00,3.0
0xb2d390b6,0,1,29000.0,0,0.0,2019-12-22 23:55:00,3.0
0xb2d606ee,0,1,3602.5,0,0.0,2019-12-25 17:36:00,38.0
0xb2d10164,6,3,4500.0,1,3500.0,2019-12-27 10:29:00,34.0
0x3b9b46a0,5,4,156016.03,1,4873.33,2019-12-31 21:41:00,126.0
0xb2d17d9d,0,0,0.0,0,0.0,,0.0
0xb2d5e7a6,14,8,1468548.0,21,2000551.46,2019-12-31 10:10:00,136.0
0xb2d6bf87,0,1,4384.0,0,0.0,2019-12-18 14:17:00,9.0
0xb2d327d2,0,0,0.0,0,0.0,2019-12-29 10:33:00,42.0
0xb2d69820,0,0,0.0,0,0.0,2019-08-23 12:01:00,0.0
0xb2d1c2cb,2,2,190000.0,0,0.0,2019-12-27 02:23:00,43.0
0xb2d68493,17,3,401672.22,3,201672.22,2019-12-25 04:15:00,16.0
0xb2d6c0bb,0,0,0.0,0,0.0,2019-12-30 10:42:00,8.0
0xb2d5349a,59,8,67500.25,4,45171.0,2019-12-30 17:55:00,23.0
0xb2d639c3,2,0,0.0,0,0.0,2019-10-25 04:10:00,4.0
0xb2d2f9cd,2,1,305191.67,2,3200.0,2019-12-31 18:04:00,14.0
0xb2d630bd,0,0,0.0,0,0.0,2019-05-03 16:15:00,0.0
0xb2d17ed1,2,1,800.0,0,0.0,2019-12-17 19:27:00,4.0
0xb2d6c4a4,0,0,0.0,0,0.0,2019-12-29 12:59:00,91.0
0xb2d6e9f0,0,0,0.0,0,0.0,2019-08-02 04:21:00,0.0
0xb2d50997,1,1,7800.0,0,0.0,2019-12-23 21:10:00,4.0
0xb2d2fdb6,0,1,149850.0,0,0.0,2019-12-31 15:58:00,1.0
0xb2d1722f,10,2,60000.0,1,30000.0,2019-12-29 11:41:00,28.0
0xb2d78658,0,1,2215.0,0,0.0,2019-12-31 20:54:00,210.0
0xb2d176ff,22,14,1218998.47,9,670978.1,2019-12-31 12:08:00,92.0
0xb2d51169,12,0,0.0,1,4000.0,2019-12-07 10:08:00,7.0
0xb2d38e9b,3,1,200675.56,0,0.0,2019-12-31 17:57:00,21.0
0xb2d1a3d0,0,0,0.0,0,0.0,2019-06-12 11:44:00,0.0
0xb2d323e9,0,0,0.0,0,0.0,2019-08-14 04:14:00,0.0
0xb2d11155,4,0,0.0,0,0.0,2019-10-16 08:33:00,1.0
0xb2d320e7,3,0,0.0,0,0.0,2019-11-07 14:25:00,1.0
0xb2d310a9,0,1,14000.0,0,0.0,2019-12-18 02:25:00,3.0
0xb2d55f9d,41,5,155590.01,7,190000.0,2019-12-30 17:01:00,36.0
0xb2d638dc,0,0,0.0,0,0.0,2019-06-25 04:41:00,0.0
0xb2d1cbd1,0,1,15550.0,0,0.0,2019-12-16 02:22:00,3.0
0xb2d185bc,0,0,0.0,0,0.0,2019-10-12 10:23:00,3.0
0xb2d2b36b,1,0,0.0,1,1243.0,2019-12-11 11:07:00,4.0
0xb2d2ae9b,1,1,41000.0,1,41000.0,2019-12-06 04:49:00,2.0
0xb2d5bca3,0,0,0.0,0,0.0,2019-11-11 09:07:00,1.0
0xb2d4a704,1,0,0.0,0,0.0,2019-09-12 04:04:00,0.0
0xb2d12cb4,2,0,0.0,0,0.0,2019-11-08 05:05:00,13.0
0xb2d62d21,0,0,0.0,0,0.0,2019-10-21 14:08:00,0.0
0xb2d6543b,1,2,200401.11,1,100000.0,2019-12-13 04:49:00,6.0
0xb2d8eca8,1,0,0.0,1,3000.0,2019-12-08 07:49:00,14.0
0xb2d9a3c0,0,0,0.0,0,0.0,2019-12-12 17:01:00,22.0
0xb2d93f12,0,0,0.0,0,0.0,2019-09-04 04:18:00,0.0
0xb2d98eb2,2,0,0.0,2,117900.0,2019-12-04 17:48:00,9.0
0xb2d9cc5b,5,0,0.0,0,0.0,2019-12-31 12:44:00,4.0
0xb2d94acd,0,0,0.0,0,0.0,2019-11-08 05:08:00,10.0
0xb2d9e7ba,0,1,200000.0,0,0.0,2019-12-20 13:46:00,9.0
0xb2d99aba,3,0,0.0,1,500.0,2019-12-21 19:18:00,15.0
0xb2da130a,0,0,0.0,0,0.0,2019-12-13 16:55:00,4.0
0xb2d9acc6,0,1,4760.82,0,0.0,2019-12-31 18:15:00,25.0
0xb2da3a24,19,2,550000.0,1,550000.0,2019-12-27 16:29:00,9.0
0xb2d964f8,0,0,0.0,0,0.0,2019-12-20 14:25:00,20.0
0xb2d99a6d,0,0,0.0,0,0.0,2019-11-15 16:39:00,25.0
0xb2d9c9a6,3,0,0.0,0,0.0,2019-11-08 05:11:00,4.0
0xb2d99ea3,1,0,0.0,0,0.0,2019-11-13 04:05:00,15.0
0xb2d9f7ab,0,0,0.0,0,0.0,2019-12-31 15:58:00,53.0
0xb2d9f892,32,0,0.0,0,0.0,2019-11-26 16:02:00,10.0
0xb2d580bd,0,0,0.0,0,0.0,2019-11-01 08:41:00,6.0
0xb2da174a,46,13,779100.0,6,400000.0,2019-12-23 04:08:00,25.0
0xb2d3893b,0,0,0.0,0,0.0,2019-11-12 10:08:00,1.0
0xb2d69e7b,1,2,3047.0,1,7560.0,2019-12-26 12:17:00,11.0
0xb2d0f336,0,0,0.0,0,0.0,,0.0
0xb2d50e71,0,6,9752.0,0,0.0,2019-12-31 13:16:00,79.0
0xb2d3c94c,0,1,94000.0,0,0.0,2019-12-17 17:12:00,3.0
0xb2d2756a,1,0,0.0,0,0.0,2019-11-06 14:00:00,2.0
0xb2d24e9d,0,0,0.0,0,0.0,2019-08-27 23:51:00,0.0
0xb2d592c9,12,2,160846.79,4,160863.4,2019-12-30 14:19:00,13.0
0xb2d9be8f,0,0,0.0,0,0.0,2019-12-03 12:11:00,4.0
0xb2d90e9a,1,0,0.0,0,0.0,2019-11-20 04:18:00,4.0
0xb2d69226,7,2,20038.0,1,10000.0,2019-12-30 04:27:00,6.0
0xb2d5625c,0,0,0.0,0,0.0,2019-11-01 05:40:00,2.0
0xb2d6cb99,0,1,47000.0,0,0.0,2019-12-14 23:52:00,3.0
0xb2d09a7b,6,3,3307.0,6,14339.0,2019-12-31 15:55:00,129.0
0xb2d2a5d7,0,0,0.0,0,0.0,2019-02-27 18:31:00,0.0
0xb2d6a781,0,0,0.0,0,0.0,2019-12-05 17:25:00,6.0
0xb2d52681,0,0,0.0,0,0.0,2019-10-30 16:57:00,15.0
0xb2d6e879,4,0,0.0,2,1563.0,2019-12-17 11:16:00,14.0
0xb2d37d33,2,6,24622.7,0,0.0,2019-12-28 20:18:00,10.0
0xb2d07663,3,0,0.0,0,0.0,2019-08-06 13:09:00,0.0
0xb2d6a47f,6,2,31793.88,1,6026.9,2019-12-30 18:34:00,6.0
0xb2d58cc5,0,0,0.0,0,0.0,2019-10-10 04:43:00,3.0
0xb2d29c84,0,0,0.0,0,0.0,,0.0
0xb2d5c5eb,2,2,146289.75,1,73000.0,2019-12-13 04:55:00,11.0
0xb2d6dda5,2,1,2500.0,0,0.0,2019-12-10 09:21:00,3.0
0xb2d38c8a,0,0,0.0,0,0.0,2019-11-12 15:53:00,7.0
0xb2d425f0,2,1,3900.0,0,0.0,2019-12-31 20:36:00,31.0
0xb2d52ea0,1,0,0.0,1,60000.0,2019-12-30 10:12:00,2.0
0xb2d98482,6,0,0.0,1,1800.0,2019-12-30 10:30:00,7.0
0xb2d5875b,4,0,0.0,0,0.0,2019-10-16 04:51:00,3.0
0xb2d38807,10,2,50343.0,2,30000.0,2019-12-06 04:55:00,4.0
0xb2d37bff,0,0,0.0,0,0.0,2019-09-05 18:44:00,0.0
0xb2d29116,3,3,5000.0,0,0.0,2019-12-28 15:04:00,18.0
0xb2d517c4,0,1,2000.0,0,0.0,2019-12-21 23:57:00,3.0
0xb2d985b6,0,0,0.0,0,0.0,2019-10-12 04:24:00,3.0
0xb2d1b282,0,0,0.0,0,0.0,2019-10-12 04:24:00,6.0
0xb2d9e5f6,1,0,0.0,0,0.0,2019-11-19 04:10:00,4.0
0xb2d41b1c,0,0,0.0,0,0.0,2019-05-08 16:26:00,0.0
0xb2d3fd08,0,0,0.0,0,0.0,2019-06-21 05:26:00,0.0
0xb2d07fb6,0,0,0.0,0,0.0,2019-12-31 15:55:00,2.0
0xb2d3a2cc,9,5,474608.0,3,260000.0,2019-12-17 04:30:00,13.0
0xb2d378b0,0,0,0.0,0,0.0,2019-11-12 04:36:00,3.0
