cust_no,C1,C2
0xb2d636da,600123.76,7
0xb2d6f824,250010.58,2
0xb2d3ada2,1280170.49,3
0xb2d6bb25,500000.45,2
0x3b9b25b0,157513.42,1
0x3b9b25a1,8363.78,11
0x3b9b259e,109218.34,4
0xb2d636c5,651809.61,4
0xb2d2ec31,404958.94,5
0xb2d6bb0a,252728.07,2
0xb2d6bb07,39668.6,1
0xb2d3ad7b,2051710.5,3
0xb2d6f80f,1964.77,1
0x3b9b2598,500029.62,4
0xb2d6bb16,303615.82,3
0x3b9b259b,201105.95,9
0xb2d40f43,1610000.0,4
0x3b9b258f,1359.07,10
0xb2d40f3d,350144.5,5
0xb2d433a9,677142.51,6
0xb2d3ad75,5847.58,1
0xb2d6bb2e,3064.8,1
0xb2d63695,10162.63,2
0xb2d61226,1012578.88,7
0xb2d6bb3a,80052.01,2
0xb2d08b55,830385.08,8
0xb2d433ca,319954.2,1
0xb2d5d52a,102998.15,3
0xb2d34db4,20004.66,2
0xb2d6f7d9,285922.06,5
0xb2d6f7dc,202916.03,2
0xb2d08ba3,1352776.48,12
0xb2d5d506,28468.05,1
0xb2d433e2,700944.57,4
0xb2d57761,122925.18,8
0xb2d5775b,28003.42,2
0xb2d61205,2507.76,1
0xb2d5d4f7,180052.36,3
0xb2d49187,772736.12,6
0xb2d433e8,106018.04,2
0xb2d08b8b,70015.01,3
0xb2d4ce80,2591.56,1
0xb2d958c4,601052.64,7
0xb2d69665,1200028.53,3
0xb2d34de7,9241.33,1
0xb2d5b064,723107.29,6
0xb2d83baf,208351.28,2
0xb2d0e91b,54124.89,2
0xb2d5d4eb,75.36,1
0xb2d6bafe,9134.4,1
0xb2d22ce5,1426.05,2
0xb2d0b01b,500008.79,4
0xb2d611d2,2563000.15,15
0xb2d5774f,22945.13,1
0xb2d5b046,52337.75,5
0xb2d49154,558044.53,7
0xb2d5b040,1161888.47,6
0xb2d95882,501869.74,3
0xb2d8faf2,444432.03,2
0xb2d69695,97682.92,1
0xb2d552b9,12443.14,1
0xb2d69698,613746.25,3
0xb2d57728,100006.01,2
0xb2d14aa4,26482292.32,14
0xb2d95870,45830.24,5
0xb2d8fada,320031.16,5
0xb2d1a81c,300141.08,2
0xb2d696c2,528005.99,3
0xb2d4ef05,8657.22,2
0xb2d8faf8,8660.72,1
0xb2d5b02b,772966.05,3
0xb2d4f4fc,411728.63,3
0xb2d8fafe,63.96,1
0xb2d83b79,1400000.0,5
0xb2d696b0,5.02,1
0xb2d5b022,224365.15,2
0xb2d28e92,65.99,1
0xb2d28ed1,0.0,1
0xb2d3d247,90.75,3
0xb2d40ef2,303358.71,9
0xb2d37493,3122862.29,5
0xb2d40efb,2443107.23,19
0xb2d2ec8b,35463.95,1
0xb2d2ec88,102007.64,2
0xb2d9e12f,63.33,1
0xb2d3d217,123270.3,2
