cust_no,C1,C2
0xb2d3ad96,332174.06,7
0xb2d40f1c,5.33,1
0xb2d636da,601455.88,6
0xb2d6bb22,7260.5,1
0xb2d37469,5.43,1
0xb2d636d4,0.31,1
0xb2d3d20b,120007.4,2
0xb2d3d208,1450890.01,5
0xb2d40f1f,0.0,1
0xb2d755c0,6.27,1
0xb2d6bb25,501781.7,2
0x3b9b25a7,1.0,1
0xb2d37472,27.09,1
0xb2d3ad84,380287.55,8
0x3b9b259e,109217.92,4
0xb2d2ec34,0.17,1
0xb2d2ec31,869047.8,8
0xb2d6bb0a,221813.59,3
0xb2d37454,30.94,1
0xb2d6bb07,17885.35,1
0xb2d6bb0d,5624.75,1
0xb2d40f37,10.61,1
0xb2d2ec1f,58974.07,2
0xb2d6bb16,262132.31,3
0x3b9b259b,201040.45,8
0xb2d3ad87,0.05,1
0xb2d755a5,0.0,1
0xb2d40f43,1099282.85,3
0xb2d40f3d,310021.49,3
0x3b9b258f,15374.53,10
0xb2d6bb46,712.78,1
0xb2d636a7,9.34,1
0xb2d5d530,353754.85,3
0xb2d433a9,480000.41,5
0xb2d40f4c,58.24,1
0x3b9b257d,17168.21,2
0xb2d433af,113131.43,2
0xb2d34d9f,23.34,1
0xb2d08b6d,1.0,1
0xb2d3ad72,2.01,1
0xb2d4ce71,0.27,1
0x3b9b2574,32.56,1
0xb2d6369b,112787.01,3
0xb2d6bb37,142.59,1
0xb2d5d521,821.27,1
0xb2d433b8,1055.42,1
0xb2d6bb34,0.07,1
0xb2d63695,10130.26,2
0xb2d61226,782579.32,5
0xb2d6bb3a,80046.84,2
0xb2d6bb40,10.12,1
0xb2d34dae,114.97,1
0xb2d6368c,0.0,1
0xb2d08b55,783021.14,10
0xb2d433ca,310104.17,2
0xb2d3ad5a,31.15,1
0xb2d34db4,20152.83,2
0xb2d5d52a,91947.88,2
0xb2d6f7d9,186012.78,4
0xb2d6965f,1.35,1
0xb2d14abf,0.09,1
0xb2d0e93f,0.26,1
0xb2d83bdf,4184.35,1
0xb2d08ba3,1395249.71,12
0xb2d5d50c,24.06,1
0xb2d5d50f,0.0,1
0xb2d5d506,5829.3,1
0xb2d69653,3118.12,1
0xb2d146d8,79.51,1
0xb2d4ce95,30.11,1
0xb2d6120e,160.19,1
0xb2d5d518,1068.46,1
0xb2d6964d,8557.26,1
0xb2d5775b,28001.31,2
0xb2d4ce98,731.49,1
0xb2d3ad45,2271.31,2
0xb2d6966e,100.2,1
0xb2d0e95a,74.61,1
0xb2d49187,503374.99,5
0xb2d5d4fa,0.0,1
0xb2d433e8,103029.95,2
0xb2d08b8b,168000.0,5
0xb2d14acb,495175.75,3
0xb2d146e7,10.14,1
0xb2d611ff,801.38,1
0xb2d69665,800000.0,3
