cust_no,label
0xb2d640a6,0
0xb2d4dd44,-1
0xb2d69fef,1
0xb2d42c89,0
0xb2d90b58,-1
0xb2d6b622,1
0xb2d18474,0
0xb2d8ca12,0
0xb2d146d0,1
0xb2d6a1d1,1
0xb2d2e348,1
0xb2d8fdee,1
0xb2d319af,1
0xb2d3194f,0
0xb2d31982,0
0xb2d6a1a3,-1
0xb2d31dda,0
0xb2d319b4,-1
0xb2d109ee,1
0xb2d2a79d,1
0xb2d14f96,-1
0xb2d1a70b,0
0xb2d5c0a5,-1
0xb2d6ecc6,1
0xb2d56270,-1
0xb2d7546d,1
0xb2d43e57,-1
0xb2d4829d,1
0xb2d0d64a,1
0xb2d1ee4c,1
0xb2d3c4fe,0
0xb2d562bf,1
0xb2d2ab5e,-1
0xb2d16cc2,1
0xb2d78b13,-1
0xb2d36e49,-1
0xb2d105f0,0
0xb2d2a7b9,1
0xb2d14ce5,0
0xb2d3a0ad,0
0xb2d590cd,0
0xb2d67f02,1
0xb2d30e5f,1
0xb2d16ebb,0
0xb2d1447f,1
0xb2d08875,1
0x3b9af3de,1
0xb2d5ff3f,1
0xb2d2702f,1
0xb2d6d54d,1
0xb2d30d3a,0
0xb2d6067a,0
0xb2d5bfa4,-1
0xb2d5bce6,1
0xb2d5c70c,0
0xb2d597b4,1
0xb2d8ccd0,0
0xb2d5b368,-1
0xb2d5bc9c,0
0xb2d5aaba,1
0xb2d5c4ca,1
0xb2d34435,1
0xb2d55378,1
0xb2d259b7,1
0xb2d12200,1
0xb2d2f1b3,0
0xb2d5ff2d,1
0xb2d27405,-1
0x3b9b0f1c,1
0xb2d92c40,1
0xb2d274b9,1
0xb2d1087b,0
0xb2d33a0e,1
0xb2d14bf2,1
0x3b9ad43c,1
0xb2d11112,1
0xb2d12bf8,1
0xb2d13651,1
0xb2d110ad,-1
0x3b9ad26c,1
0xb2d080e3,1
0xb2d8da9a,0
0xb2d6f026,0
0xb2d6c407,0
0xb2d8eb5f,1
0xb2d6bfab,1
0xb2d4c040,1
0xb2d56ecd,1
0xb2d6bf67,1
0xb2d8faab,1
0xb2d1d3ee,1
0xb2d3786f,1
0xb2d6c096,0
0xb2d59a24,1
0xb2d7819f,1
0xb2d6c40c,0
0xb2d8d550,0
0xb2d6f3ca,-1
0xb2d6c49f,0
0xb2d94504,1
0xb2d6f37c,1
0xb2d6c4ba,1
0xb2d29299,0
0xb2d8da9f,1
0xb2d20867,1
0xb2d4fbdd,0
0xb2d0dcc7,0
0xb2d17528,1
0xb2d12908,0
0xb2d5fc12,-1
0xb2d12cb0,1
0xb2d51f2d,0
0xb2d5899b,1
0xb2d27b1f,-1
0xb2d1d9eb,1
0xb2d11e89,1
0xb2d324c6,-1
0xb2d546b7,1
0xb2d4424e,1
0x3b9b33c8,1
0x3b9b2f0c,1
0xb2d4a6bc,1
0xb2d366c4,0
0xb2d0fba4,1
0xb2d33c67,-1
0xb2d37aa4,1
0xb2d4339f,1
0xb2d67e86,1
0xb2d6a42a,0
0xb2d6a10c,0
0xb2d6b783,0
0x3b9b4261,1
0xb2d67dbc,0
0xb2d2fffe,-1
0xb2d941c6,-1
0xb2d278c6,1
0xb2d32a30,1
0xb2d4372b,-1
0xb2d3f591,-1
0xb2d2b030,1
0xb2d2d058,1
0xb2d8c95f,-1
0xb2d2dde2,-1
0xb2d1551c,0
0xb2d28e27,-1
0xb2d43ce9,0
0xb2d426a3,0
0xb2d43d32,-1
0xb2d1eeb1,1
0xb2d1bdee,-1
0xb2d57614,1
0xb2d3f698,1
0x3b9b42f9,1
0xb2d53823,1
0xb2d50aa8,0
0xb2d2cc2e,1
0xb2d1043b,1
0xb2d5bb1a,1
0xb2d0c5e9,1
0xb2d074a4,1
0xb2d52012,1
0xb2d0c54d,1
0xb2d1f9d3,1
0xb2d0c6fd,0
0xb2d5f18c,0
0xb2d68d68,1
0xb2d6849e,1
0xb2d5cd24,-1
0xb2d6cc03,1
0xb2d6ca8a,0
0xb2d6586f,1
0xb2d61b59,1
0xb2d19bb6,1
0xb2d2532b,1
0xb2d30551,1
0xb2d15f14,1
0xb2d4feb7,-1
0xb2d1536c,1
0xb2d3a8ac,1
0xb2d56275,1
0xb2d617e3,1
0xb2d16387,1
0xb2d5b981,0
0xb2d42dd3,1
0xb2d87e7f,0
0xb2d8cb05,0
0xb2d5d45f,0
0xb2d893c8,-1
0xb2d90cd0,-1
0xb2d8cb9c,-1
0xb2d177fd,1
0xb2d5ba19,1
0xb2d5fbc9,-1
0xb2d893ff,1
0xb2d0dc46,0
0xb2d20e5d,-1
0xb2d16882,1
0xb2d52dae,-1
0xb2d3e28b,-1
0xb2d90068,1
0xb2d83b1f,-1
0xb2d638de,1
0xb2d5a663,0
0xb2d3a17c,-1
0xb2d51699,1
0xb2d634ec,1
0xb2d3e4b7,1
0xb2d9466b,1
